#SampleID,Faith PD,Observed OTUs
595e93ed.e4b3.42b5.91b1.1ad4f31e7134,43.072041,1280.6
bd64992d.87cc.464f.9e1b.9c0156ed65d8,55.483458,1403.8
e7a2370c.f80c.4703.b2ee.10c65967e05f,55.450872000000004,1474.4
11f3f37a.3698.4031.8183.75f6f2c6c04c,50.284798,1298.8
fa2e9bcc.cc53.4b83.ad1e.a308375854f5,33.395722,925.7
44ef59fb.3279.46dc.a113.c762aa889eb5,55.838579,1418.4
21a4ec1a.bcae.4e10.be82.66328d2dad4f,47.981702,1212.8
b1e40907.45fc.4d81.ad81.c58ed3d91e1f,25.177777,842.4
c784e063.e586.43cb.a602.9f2e2ae420d1,50.54584,1254.8
cc52726a.bed3.4840.a146.2a4c58978b89,55.134943,1397.3
104e5902.1c3e.417f.bb22.124bfca61a61,51.021397,1331.4
7c66ff62.02e7.458d.a55d.8d07d15a9315,52.857231999999996,1353.5
0bb5e24a.aa34.48e7.b1f9.e761ac2dc6b4,50.443951,1298.2
b447da2d.f44f.4ced.ab9e.b560736484fb,57.343199000000006,1424.5
60345a80.4df2.4a0b.b7af.e2370c607aec,55.677026999999995,1454.5
4019255d.d4a7.4178.98c6.aaed75378852,44.741192999999996,1269.6
399ee668.fc0f.4632.a48c.9d9025b608aa,31.048878000000002,773.8
aef9e193.1f8c.429e.bfdf.38bb59235e7d,31.389897,786.6
16c74b52.93fa.4c42.b373.52b1c54a8997,56.211698,1499.6
2c8092fd.b468.4d23.920a.54b21ec64034,47.295736999999995,1102.4
a72194e4.2726.44c7.9037.7ee87111aa0e,57.862742000000004,1547.1
c61b44a5.ae92.4202.9d0c.b4507197e456,34.70733,910.0
59d06f37.995b.40a5.91a8.c825d1a7ca6f,46.164722999999995,1253.2
8cbe736d.b553.450d.af3c.d5ad08863390,47.303769,1261.2
124dc1db.9029.41c6.afff.b73a692e19b1,53.19268999999999,1434.2
1fe57dd4.58b3.4fde.b8a1.f73db5614909,37.062966,1105.4
101c02ce.4f8d.4394.83a3.0c406831d934,47.18864,1323.0
8c4ae03d.dd8c.44ec.8336.15e0b031d97f,46.781200999999996,1235.5
e6dcb4be.68c0.473f.a9cb.412345eeb749,30.332984,663.4
633bc9a7.b25f.475a.9bd3.858212b39d7d,34.96163299999999,923.4
d7c251b8.15e9.4266.bcd8.6e6c6a453c11,40.714414999999995,1062.1
65ba3877.ad29.4afc.aaec.bcf3544f5f75,52.880453,1387.1
72a8ae87.94ea.41e3.b43c.b5337f6a0548,38.613393,879.6
35a8aef7.4bb0.4cab.bc0e.3576bb706571,43.86301,1071.5
df4b001a.f4cd.4b71.8ebe.a68b8df2cb80,49.592628000000005,1275.9
14c94c5e.aaf2.414f.a72f.74ccc134b294,50.46007899999999,1312.8
d84dbc6b.0986.466a.abd3.3a5ac4fb4d52,49.828896,1260.8
3a65e2c1.78af.425e.9569.de2370109769,36.788168999999996,1125.9
d8b73c7f.8386.436a.925f.66ac0c32f76f,29.570169999999997,816.8
98d36350.175c.439b.a534.27de6e5783ad,45.019363999999996,1284.1
683047f6.fe17.477f.9950.a6190ca34054,62.245779000000006,1553.0
7e1f1b3f.4575.458c.9f42.287d03499e25,60.862053,1610.3
873473f6.eef2.4718.b5f4.e88757055760,58.45206099999999,1506.9
11c4be47.fdce.4135.8acf.0894f2da5ede,41.065197,912.3
212f0ce6.9123.4e38.abf3.db944de7f1c1,37.643572,918.2
d6223d2e.0d62.4658.8eec.ccc9d4ee86a3,57.977036,1585.3
b49ad14d.07c8.454d.82ec.c6fb9c7bcc36,27.233241,827.1
11c70d46.e0a4.4797.ad7b.3677fe93d73b,30.373667,758.1
c8b831af.2e3c.4aaa.83cf.b66c3016e0f3,55.142818,1328.4
ec91140e.0862.4ece.bb4a.d114f4c42bdb,54.30333,1326.5
e94edb86.8fe0.42b8.a255.c48d4551405b,41.134665,981.2
fae97eb5.3264.4211.8ea3.823f547a6f0c,45.840724,1091.7
e4485061.924a.4f09.9d7e.bfefc780d1a8,31.039427,819.8
2a1b28ba.f47e.44b6.bfd7.d3e41e762db3,41.53747,977.2
9ae6a37c.be4b.4ce6.afce.7bb6ab13e531,45.898061,1249.4
cfe0d2d7.c78b.4092.b923.3322b4312c6d,62.405961000000005,1548.7
b47145a4.9ef2.445b.8573.b05dfc43ff67,52.020397,1308.7
a966c278.f81d.44a6.b1df.fff6dbcdf793,34.336265000000004,861.7
90120dc2.ad2e.4916.a660.633ba4b6a7b8,57.537757,1506.6
c1a66804.c565.448a.8371.0c8e386f4969,52.89715700000001,1366.1
558a13e5.f4a8.47bc.a63e.47d6dffe528b,57.239265,1433.5
d623471b.5a0c.4291.a780.2ae6532752a9,59.46046900000001,1553.0
35ace8e4.0b62.44c7.a9a3.1e16d45ed772,58.014505,1547.0
55b26af1.31a6.4606.8b99.bf415a009311,55.446951999999996,1315.2
20aa4aaf.8242.48d9.a225.e9f6b3e8938c,16.521092,681.8
17f96e8a.dc68.4aef.98db.8aaaab702e33,49.51311,1271.6
61c3930c.61c4.4c82.8475.7a10ccaeb71c,47.598839,1093.6
ac7d2af0.9c75.4a32.bb2b.e79380ab8c61,51.30301000000001,1297.1
b612f67e.eea8.4e03.81b7.034dbfc44669,57.946446,1435.5
36b313f7.8a44.4bdc.8034.82260a83d7b9,62.285356,1600.4
6ecca0ea.049c.41ec.b324.404e504d44c0,54.266647,1310.2
50f400f5.8e55.420b.9a63.4623a5900017,59.78396,1500.4
9b00e3b8.869c.4664.ad85.4428c7adf122,64.16148999999999,1741.6
4bc0ba2c.6eed.4c5d.9838.1ce36b0c1874,57.579344000000006,1438.7
78fead56.47d0.4cfa.be19.a356d5f38653,52.217753,1420.1
9000e59e.4bd6.41a5.bd6d.1fa5e71a8f54,49.990337000000004,1283.8
4d462fad.5f32.4b6f.8046.1c510247ee5e,58.145354,1641.1
fe826a14.1ed8.4d19.b14d.2233b960e1bc,55.970749,1427.0
98c66ce0.1f4c.422c.86e9.3561ea63b612,46.662844,1265.4
40112074.09e5.42b1.b332.17c9b89686e5,54.89666999999999,1380.3
