Taxonomy,Fold donor enrichment,Fold final enrichment,Donor median abundance,Initial ASD median abundance,Final ASD median abundance,"t (two-tailed, one-sample)",p-value,FDR p-value
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,1.472940023675461,1.5148544298339106,0.028288958496500004,0.0192057775889,0.029093957258950004,0.15636490086400526,0.877830472939169,0.9308537900965685
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,2.6709112825162435,0.8585988126860614,0.033267443327599996,0.012455465497999998,0.010694247888035,0.12201953755480331,0.9045032580102529,0.9527434317707998
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other,0.5098407773955744,1.2448938176492585,5.42711386085e-05,0.000106447230223,0.0001325154988105,0.10369313102101838,0.9187865809558917,0.961379336364443
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0.7061581986469406,1.6695544268569398,0.000275621296339,0.0003903109768705,0.0006516454192849999,-0.09402548920280845,0.9263333830995725,0.9628991745377135
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,0.0,0.0,0.0,9.5571229237e-06,0.0,-0.0710512246533454,0.9442956470641097,0.9688228067281126
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,0.7061581986469406,1.855027111739996,0.000275621296339,0.0003903109768705,0.0007240374441045,-0.0776377154391282,0.9391424062363557,0.9688228067281126
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53,5.690830511610955,1.3232926400635465,0.000954144917775,0.00016766356260799998,0.000221867958406,0.05409592556646421,0.9575726574154564,0.9761063217525298
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,2.3020292369742705,1.5728046049316429,0.00168240529686,0.0007308357643065,0.00114946185555,0.0032814884510961716,0.9974250001842053,0.9979642921719272
k__Bacteria;p__Tenericutes,inf,inf,0.0008809710258419999,0.0,0.0001262471411745,-0.0025942320038443017,0.9979642921719272,0.9979642921719272
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,2.3020292369742705,1.5728046049316429,0.00168240529686,0.0007308357643065,0.00114946185555,0.0032814884510961716,0.9974250001842053,0.9979642921719272
